Headphones,Noise-cancelling headphones with excellent sound quality,149.99,30,REF003
Tablet,Portable tablet for on-the-go productivity,399.99,15,REF004
Camera,High-resolution camera for capturing memorable moments,299.99,25,REF005
Printer,Wireless printer for convenient printing,179.99,5,REF006
Monitor,Widescreen monitor for immersive viewing experience,249.99,8,REF007
Keyboard,Ergonomic keyboard for comfortable typing,69.99,12,REF008
Mouse,Wireless mouse for precise navigation,29.99,40,REF009
Speaker,Compact speaker with rich sound,99.99,18,REF010
Smartwatch,Feature-rich smartwatch for fitness and notifications,199.99,22,REF011
Switcheur,Reseau,205,50,REF7895
